iter	Passed	Remaining
0	14	4223
1	21	3198
2	41	4081
3	53	3988
4	62	3667
5	66	3265
6	74	3101
7	82	3006
8	91	2945
9	103	3005
10	108	2863
11	113	2728
12	118	2622
13	129	2654
14	137	2606
15	143	2555
16	151	2524
17	158	2482
18	165	2453
19	172	2420
20	179	2384
21	190	2407
22	195	2351
23	201	2312
24	212	2335
25	216	2284
26	224	2269
27	229	2231
28	233	2185
29	243	2187
30	253	2196
31	257	2158
32	268	2171
33	276	2160
34	284	2157
35	294	2157
36	304	2166
37	313	2158
38	318	2130
39	325	2115
40	329	2083
41	340	2092
42	352	2104
43	357	2079
44	374	2122
45	387	2138
46	393	2117
47	407	2138
48	423	2169
49	451	2258
50	506	2471
51	520	2484
52	539	2514
53	560	2552
54	567	2526
55	601	2622
56	614	2619
57	635	2652
58	648	2647
59	655	2622
60	664	2604
61	671	2579
62	676	2545
63	684	2522
64	691	2499
65	708	2512
66	729	2536
67	748	2554
68	754	2526
69	764	2511
70	769	2483
71	776	2458
72	781	2428
73	785	2398
74	791	2375
75	797	2349
76	801	2320
77	807	2299
78	818	2288
79	824	2267
80	830	2245
81	834	2219
82	838	2193
83	847	2178
84	852	2155
85	858	2135
86	863	2114
87	875	2108
88	883	2093
89	891	2079
90	897	2060
91	902	2039
92	910	2026
93	921	2019
94	929	2004
95	933	1983
96	938	1964
97	945	1948
98	966	1963
99	977	1954
100	982	1935
101	991	1924
102	1006	1925
103	1017	1917
104	1025	1903
105	1039	1902
106	1046	1887
107	1060	1886
108	1066	1868
109	1082	1869
110	1101	1875
111	1116	1874
112	1122	1857
113	1137	1856
114	1155	1859
115	1172	1859
116	1179	1844
117	1212	1869
118	1240	1887
119	1252	1879
120	1279	1893
121	1297	1893
122	1316	1893
123	1320	1874
124	1334	1868
125	1351	1866
126	1369	1865
127	1402	1884
128	1421	1884
129	1442	1886
130	1463	1887
131	1484	1889
132	1513	1900
133	1547	1917
134	1568	1917
135	1588	1915
136	1607	1912
137	1631	1915
138	1649	1910
139	1671	1910
140	1716	1936
141	1747	1944
142	1781	1955
143	1800	1951
144	1832	1958
145	1870	1972
146	1929	2008
147	1976	2029
148	1999	2026
149	2017	2017
150	2033	2006
151	2054	1999
152	2078	1997
153	2096	1987
154	2109	1973
155	2121	1958
156	2135	1945
157	2148	1930
158	2161	1916
159	2176	1904
160	2187	1888
161	2202	1876
162	2215	1862
163	2237	1855
164	2248	1839
165	2260	1824
166	2271	1809
167	2284	1794
168	2296	1779
169	2307	1764
170	2319	1749
171	2331	1734
172	2342	1719
173	2354	1704
174	2363	1688
175	2371	1671
176	2383	1656
177	2394	1640
178	2405	1626
179	2417	1611
180	2437	1602
181	2450	1588
182	2463	1574
183	2475	1560
184	2483	1543
185	2494	1528
186	2506	1514
187	2518	1500
188	2529	1485
189	2541	1471
190	2551	1456
191	2567	1444
192	2579	1430
193	2591	1415
194	2602	1401
195	2618	1389
196	2627	1373
197	2643	1361
198	2660	1350
199	2684	1342
200	2697	1328
201	2712	1315
202	2724	1301
203	2733	1286
204	2748	1273
205	2759	1259
206	2785	1251
207	2800	1238
208	2814	1225
209	2829	1212
210	2850	1202
211	2866	1189
212	2876	1174
213	2881	1158
214	2890	1142
215	2903	1129
216	2908	1112
217	2916	1097
218	2925	1082
219	2931	1066
220	2937	1049
221	2943	1034
222	2952	1019
223	2958	1003
224	2967	989
225	2974	973
226	2979	958
227	2985	942
228	2994	928
229	3001	913
230	3007	898
231	3020	885
232	3040	874
233	3046	859
234	3053	844
235	3062	830
236	3073	817
237	3081	802
238	3091	788
239	3108	777
240	3120	764
241	3131	750
242	3142	737
243	3159	725
244	3171	712
245	3200	702
246	3214	689
247	3229	677
248	3238	663
249	3245	649
250	3261	636
251	3284	625
252	3297	612
253	3316	600
254	3327	587
255	3341	574
256	3368	563
257	3397	553
258	3420	541
259	3454	531
260	3480	520
261	3502	508
262	3519	495
263	3539	482
264	3559	470
265	3581	457
266	3598	444
267	3617	431
268	3625	417
269	3636	404
270	3650	390
271	3664	377
272	3672	363
273	3685	349
274	3698	336
275	3708	322
276	3722	309
277	3731	295
278	3740	281
279	3751	267
280	3758	254
281	3769	240
282	3784	227
283	3793	213
284	3805	200
285	3812	186
286	3828	173
287	3857	160
288	3891	148
289	3921	135
290	3935	121
291	3948	108
292	3958	94
293	3965	80
294	3980	67
295	4004	54
296	4024	40
297	4033	27
298	4042	13
299	4056	0
